Column1,Column2,Column3,Column4
,,,
,,,
,,,
, BROMINATED VEGETABLE OIL,,
, 2-BUTYRYLFURAN,, FLAVORING AGENT OR ADJUVANT
, CITRIC AND FATTY ACID ESTERS OF GLYCEROL,, FLAVORING AGENT OR ADJUVANT
," (+/-)-N,N-DIMETHYL MENTHYL SUCCINAMIDE",, FLAVOR ENHANCER
, N-[(ETHOXYCARBONYL)METHYL)-P-MENTHANE-3-CARBOXAMIDE,, FLAVORING AGENT OR ADJUVANT
, (+/-)-ETHYL 3-MERCAPTO-2-METHYLBUTANOATE,, FLAVORING AGENT OR ADJUVANT
, FERROUS L-LACTATE,, FLAVORING AGENT OR ADJUVANT
," N-(HEPTAN-4-YL)BENZO[D][1,3]DIOXOLE-5-CARBOXAMIDE",, FLAVORING AGENT OR ADJUVANT
, HEXYL ISOTHIOCYANATE,, FLAVORING AGENT OR ADJUVANT
," (-)-HOMOERIODICTYOL, SODIUM SALT",, FLAVOR ENHANCER
, N-LACTOYL ETHANOLAMINE PHOSPHATE,, FLAVORING AGENT OR ADJUVANT
, MENTHYL ACETATE,, FLAVORING AGENT OR ADJUVANT
, 2-METHOXY-(3 OR 5 OR 6)-ISOPROPYLPYRAZINE,, FLAVORING AGENT OR ADJUVANT
, 5-METHYLHEXYL ACETATE,, FLAVORING AGENT OR ADJUVANT
," PEG FATTY ACID ESTERS AND MONO-, DI-, AND TRIGLYCERIDES MIXTURE",, SOLVENT OR VEHICLE
, 3-PINANONE,, FLAVORING AGENT OR ADJUVANT
, PROPYLENEGLYCOL DI-2-METHYLBUTYRATE,, FLAVORING AGENT OR ADJUVANT
," PYRROLIDINO-[1,2E]-4H-2,4-DIMETHYL-1,3,5-DITHIAZINE",, FLAVORING AGENT OR ADJUVANT
, SAUSAGE CASING (HCL AND CELLULOSE FIBERS),," FORMULATION AID,<br /> TEXTURIZER"
," SCOTCH SPEARMINT OIL, MENTHA CARDIACA L.",, FLAVORING AGENT OR ADJUVANT
, SILVER-SILVER DRAGEES,,
," SOY PROTEIN CONCENTRATE, ENZYME ACTIVATED",," NUTRIENT SUPPLEMENT,<br /> STABILIZER OR THICKENER,<br /> TEXTURIZER"
," STEARYL ALCOHOL, PLUS BEESWAX",,
," SULFITES, STRONG ALKALI",,
, TRANS-2-DECENOL,, FLAVORING AGENT OR ADJUVANT
," VANILLA, ABSOLUTE (VANILLA SPP.)",,
," VEGETABLE GUM, OTHER THAN THOSE CFR LISTED",," EMULSIFIER OR EMULSIFIER SALT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-FINISHING AGENT"
, ISOPROPYLIDENEGLYCERYL 5-HYDROXYDECANOATE," &diams; (2,2-DIMETHYL-1,3-DIOXOLAN-4-YL)METHYL 5-HYDROXYDECANOATE<br />&diams; decanoic acid, 5-hydroxy-, (2,2-dimethyl-1,3-dioxolan-4-yl)methyl ester<br />&diams; isopropylideneglyceryl 5-hydroxydecanoate", FLAVORING AGENT OR ADJUVANT
